company_name,A money,A date,B money,B date,C money,C date,D money,D date,E money,E date,F money,F date,G money,G date,H money,H date,IPO money,IPO Date,Seed Money,Seed Date,Undisclosed Money,Undisclosed Date,Non series Money,Non Series Date,,
daysoft,,,,,,,,,,,,,,,,,0,0,1431290,18/03/01,2844174,01/03/02,01/08/06,2799254,7074718,27/04/03
Dayuse.com,,,,,,,,,,,,,,,,,0,0,,,2262443.439,02/02/15,,0,2262443.439,02/02/15
Daz 3d,12600000,01/06/07,,,,,,,,,,,,,,,0,0,,,,,,0,12600000,01/06/07
Dazo,,,,,,,,,,,,,,,,,0,0,40000,08/11/14,,,,0,40000,08/11/14
db - corporate social platforms (db-csp),,,,,,,,,,,,,,,,,0,0,,,,,01/03/15,9000000,9000000,01/03/15
DB Networks,,,4500000,29/01/13,51000000,11/12/14,,,,,,,,,,,0,0,,,,,,0,55500000,23/06/14
db4objects,,01/01/07,,,,,,,,,,,,,,,0,0,,,,,,0,,01/01/07
DBA Group,,,,,,,,,,,,,,,,,0,0,,,,,02/01/12,5174000,5174000,02/01/12
DBassociates IT,9000000,11/02/04,,,,,,,,,,,,,,,0,0,,,,,,0,9000000,11/02/04
DBi Services,,,,,,,,,,,,,,,,,0,0,,,,,17/03/14,35000000,35000000,17/03/14
DBJ Financial Services,,,,,,,,,,,,,,,,,0,0,115000,23/04/09,,,,0,115000,23/04/09
Dblur Technologies,,,18000000,25/04/06,,,,,,,,,,,,,0,0,,,,,,0,18000000,25/04/06
DBmaestro,,,,,,,,,,,,,,,,,0,0,,09/03/15,,,,0,,09/03/15
DBS Communications,,,,,,,86200000,06/08/07,,,,,,,,,0,0,,,,,,0,86200000,06/08/07
dbTwang,,,,,,,,,,,,,,,,,0,0,267436,27/04/09,,,,0,267436,27/04/09
DBV Technologies,,,,,127500000,05/01/11,,,,,,,,,,,0,0,,,,,,0,127500000,05/01/11
DCI Design Communications,,,,,,,,,,,,,,,,,0,0,,,,02/10/14,,0,,02/10/14
DCITS,,,,,,,,,,,,,,,,,0,0,,,,,09/02/08,146000000,146000000,09/02/08
DCS Plus,,,,,,,,,,,,,,,,,0,0,,,,05/05/15,,0,,05/05/15
Dctio,,,,,,,,,,,,,,,,,0,0,500000,01/07/13,,,,0,500000,01/07/13
DCWafers,4700000,24/07/08,,,,,,,,,,,,,,,0,0,,,,,,0,4700000,24/07/08
ddmap.com,,,80000000,01/04/12,,01/11/12,,30/07/12,,,,,,,,,0,0,,,,01/10/10,,0,80000000,26/11/11
DDStocks,,,,,,,,,,,,,,,,,0,0,,,,,07/09/13,12000,12000,07/09/13
DDVTECH,,,,,,,,,,,,,,,,,0,0,632200,01/03/09,,,,0,632200,01/03/09
De Novo,,,,,,,,,,,,,,,,,0,0,,,,16/11/10,,0,,16/11/10
Dead Inventory Management System,,,,,,,,,,,,,,,,,0,0,50000,29/01/13,,,,0,50000,29/01/13
Deal Co-op,,,,,,,,,,,,,,,,,0,0,16000,01/11/10,,,01/02/11,1500000,1516000,09/01/11
Deal Decor,,,,,,,,,,,,,,,,,0,0,9600000,23/08/12,,,,0,9600000,23/08/12
Deal In City,,,,,,,,,,,,,,,,,0,0,30000,04/08/11,,,10/10/12,45000,75000,07/03/12
Deal.com.sg,,,1000000,01/11/10,,,,,,,,,,,,,0,0,,,,,,0,1000000,01/11/10
DealAngel,,,,,,,,,,,,,,,,,0,0,1618000,04/01/12,,,,0,1618000,04/01/12
DealBase Corporation,,,,,,,,,,,,,,,,,0,0,3000000,08/05/09,,,,0,3000000,08/05/09
DealCircle,,,,,,,,,,,,,,,,,0,0,,,,,03/03/14,3000000,3000000,03/03/14
DealDash,,,,,,,,,,,,,,,,,0,0,,,,,10/12/11,1500000,1500000,10/12/11
DealDey Limited,,,5000000,19/02/15,,,,,,,,,,,,,0,0,,,,,,0,5000000,19/02/15
Dealer Ignition,,,,,,,,,,,,,,,,,0,0,,,,,,0,100000,27/03/09
Dealer.com,,,,,,,,,,,,,,,,,0,0,,,,25/08/11,,0,,25/08/11
Dealerdirect,,,,,,,,,,,,,,,,,0,0,,,,,23/04/15,17165724,17165724,23/04/15
DealerRater,,,,,,,,,,,,,,,,,0,0,,,,,03/12/13,0,,03/12/13
DealerSocket,,,,,,,,,,,,,,,,,0,0,,,,,14/05/14,0,,14/05/14
Dealertrack,,,,,,,,,,,,,,,,,0,0,,,,,01/04/02,10000000,10000000,01/04/02
Dealflicks,,,,,,,,,,,,,,,,,0,0,30600000,07/03/14,,,,0,30600000,07/03/14
Dealised,10541814.11,24/06/11,,,,,,,,,,,,,,,0,0,,,,,,0,10541814.11,24/06/11
DealMarket,,,,,,,,,,,,,,,,,0,0,,,,,01/01/14,0,,01/01/14
Dealoka,,20/01/15,,,,,,,,,,,,,,,0,0,30000,01/12/13,,,,0,30000,18/04/14
DealPing,,,,,,,,,,,,,,,,,0,0,100000,01/01/10,,,,0,100000,01/01/10
DealsAndYou,,,17000000,01/11/11,,,,,,,,,,,,,0,0,,,,,,0,17000000,01/11/11
Dealstreet,,,,,,,,,,,,,,,,,0,0,,,,04/12/09,,0,,04/12/09
Dealstruck,,,10000000,23/07/15,,,,,,,,,,,,,0,0,1200000,30/07/13,,,,0,11200000,26/01/14
DealTaker,,,,,,,,,,,,,,,,,0,0,,06/05/12,,,,0,,06/05/12
Dealupa,,,,,,,,,,,,,,,,,0,0,,01/03/12,,,,0,,01/03/12
Dealyze,,,,,,,,,,,,,,,,,0,0,120000,01/12/14,,,,0,120000,01/12/14
DeansList,,,,,,,,,,,,,,,,,0,0,,14/01/14,,,,0,,14/01/14
DearJane,,,,,,,,,,,,,,,,,0,0,,,,,01/09/13,60000,60000,01/09/13
DearMissJ,,,,,,,,,,,,,,,,,0,0,,,,,18/02/14,100000,100000,18/02/14
Death Buy Fashion,,,,,,,,,,,,,,,,,0,0,37303,05/06/12,,,,0,37303,05/06/12
Debitos,,19/06/12,,,,,,,,,,,,,,,0,0,,,,,,0,,19/06/12
Debteye,,,,,,,,,,,,,,,,,0,0,,02/08/11,,,,0,,02/08/11
DebtFolio,,,,,,,,,,,,,,,,,0,0,585000,17/12/07,,,,0,585000,17/12/07
DebtLESS Community,,,,,,,,,,,,,,,,,0,0,,,,,01/01/11,35000,55000,01/09/11
DebtMarket,750000,01/05/08,,,,,,,,,,,,,,,0,0,,,,,,0,750000,01/05/08
DECA,15000000,01/09/07,40000000,12/01/09,,,,,,,,,,,,,0,0,,,,,,0,55000000,12/06/08
Decalog,,,,,,,,,,,,,,,,,0,0,,,,,12/01/09,2009100,2009100,12/01/09
deCarta,,,,,87000000,05/01/08,9400000,22/12/10,,,,,,,,,0,0,,,,,17/03/05,50726296,147126296,26/01/08
DecaWave,2802800,03/11/10,,,,,,,,,,,,,,,0,0,1088130,31/08/09,,,15/06/15,9014330,12905260,17/07/10
DeCell Technologies,,,,,,,,,,,,,,,,,0,0,533980,15/09/13,,,,0,533980,15/09/13
Decibel Therapeutics,156000000,15/10/15,,,,,,,,,,,,,,,0,0,,,,,,0,156000000,15/10/15
Decide.com,5000000,01/01/10,24000000,19/04/11,24000000,01/03/13,,,,,,,,,,,0,0,,,,,,0,53000000,19/08/11
DecideQuick,,,,,,,,,,,,,,,,,0,0,200000,14/01/12,,,,0,200000,14/01/12
DecImmune Therapeutics,,,,,,,,,,,,,,,,,0,0,,,,,27/09/10,16350000,16350000,12/12/11
Decipher,,,,,,,,,,,,,,,,,0,0,,,,,04/12/07,0,,04/12/07
Deciphera Pharmaceuticals,,,75000000,21/09/15,,,,,,,,,,,,,0,0,,,,,,0,75000000,21/09/15
Decisio Health,,,,,,,,,,,,,,,,,0,0,,,,,,0,,20/05/15
Decision Curve,1080000,06/12/06,,,,,,,,,,,,,,,0,0,,,,,,0,1080000,06/12/06
Decision Lens,,,,,,,,,,,,,,,,,0,0,,,,,25/07/14,4400000,4400000,25/07/14
Decision Management International,,,,,,,,,,,,,,,,,0,0,,,,,06/06/01,28000000,28000000,06/06/01
Decision Pace,,,,,,,,,,,,,,,,,0,0,1000000,25/06/13,,,,0,1000000,25/06/13
Decision Simulation,,,,,,,,,,,,,,,,,0,0,300000,18/03/15,,,,0,300000,18/03/15
DecisionDesk,,,,,,,,,,,,,,,,,0,0,500000,27/07/10,,,,0,2500000,18/11/11
DecisionNext,,,,,,,,,,,,,,,,,0,0,,,,,23/02/15,14000000,14000000,23/02/15
DecisionSim,3700000,02/09/15,,,,,,,,,,,,,,,0,0,,,,,,0,3700000,02/09/15
DecisionView,,,,,21000000,30/07/07,,,,,,,,,,,0,0,,,,,,0,21000000,30/07/07
Decisive,,,,,,,,,,,,,,,,,0,0,120000,06/07/15,,,,0,120000,06/07/15
Decisive BI,,,,,,,,,,,,,,,,,0,0,,,,,15/01/11,0,,15/01/11
Decisyon,15000000,24/10/12,22000000,10/04/14,,,,,,,,,,,,,0,0,,14/03/11,,,,0,37000000,05/10/12
DeciZium,,,,,,,,,,,,,,,,,0,0,,,,,01/01/08,1500000,1500000,01/01/08
Deck App Technologies,,,,,,,,,,,,,,,,,0,0,1200000,16/12/13,,,,0,1200000,16/12/13
DeckDAQ,,,,,,,,,,,,,,,,,0,0,,01/09/11,,,,0,,27/01/12
Declara,82000000,09/05/14,,,,,,,,,,,,,,,0,0,20000000,27/09/13,,,,0,102000000,08/02/14
DECNUT,,,,,,,,,,,,,,,,,0,0,50000,06/05/15,,,,0,50000,06/05/15
Decolar.com,,,,,,,,,,,,,,,,,0,0,,,,,27/04/12,270000000,270000000,03/10/13
Decorist,,,,,,,,,,,,,,,,,0,0,13500000,15/05/15,,,,0,13500000,15/05/15
DecoSlide,,,,,,,,,,,,,,,,,0,0,508475,21/11/14,,,,0,508475,21/11/14
DecoSnap,,,,,,,,,,,,,,,,,0,0,,,,,,0,40000,25/05/12
Decru,,,,,,,,,,,,,,,,,0,0,,,,,01/08/02,200000000,200000000,01/08/02
Decuma AB,,,,,,,,,,,,,,,,,0,0,,,,,11/09/03,3471859,3471859,11/09/03
Decurate,,,,,,,,,,,,,,,,,0,0,40000,29/07/11,,,,0,40000,29/07/11
Dedalus Group,,,,,,,,,,,,,,,,,0,0,,,,,22/01/14,64330000,64330000,22/01/14
Dedicated Devices,,30/04/04,24000000,22/02/05,,,,,,,,,,,,,0,0,,,,,,0,24000000,26/09/04
Dedrone,,,,,,,,,,,,,,,,,0,0,2900000,28/04/15,,,,0,2900000,28/04/15
Deductr,,,,,,,,,,,,,,,,,0,0,,,,17/04/14,,0,,17/04/14
DEE Piping Systems,,,,,,,,,,,,,,,,,0,0,,,,17/08/15,,0,,17/08/15
Deed,,,,,,,,,,,,,,,,,0,0,91500,17/03/13,,,,0,91500,17/03/13
Deehubs,,,,,,,,,,,,,,,,,0,0,60000,01/02/14,,,,0,60000,01/02/14
Deekit,,,,,,,,,,,,,,,,,0,0,118000,06/07/15,,,,0,118000,06/07/15
Deem,,,,,50000000,01/09/05,32500000,01/07/06,400000000,01/04/08,80000000,09/09/09,279941740,24/09/13,100000000,23/07/14,0,0,,,,,01/01/04,560000000,1527441740,14/12/08
Deemelo,,,,,,,,,,,,,,,,,0,0,40000,11/12/12,,,,0,40000,11/12/12
Deenty,,,,,,,,,,,,,,,,,0,0,120000,17/01/13,,,,0,120000,17/01/13
Deep Casing Tools,,,,,,,,,,,,,,,,,0,0,,,18930928,27/12/09,,0,18930928,27/12/09
Deep Domain,,,,,,,,,,,,,,,,,0,0,,,,,,0,393817,31/12/12
Deep Forest Media,,,,,,,,,,,,,,,,,0,0,,,,,31/12/14,1710072,1710072,31/12/14
Deep Genomics,,,,,,,,,,,,,,,,,0,0,7400000,18/11/15,,,,0,7400000,18/11/15
Deep Glint,17000000,01/06/14,,,,,,,,,,,,,,,0,0,,,,,01/09/12,2000000,19000000,24/06/13
Deep Identity,,,,,,,,,,,,,,,,,0,0,470000,20/11/14,,,,0,470000,20/11/14
Deep Imaging Technologies,,,,,,,,,,,,,,,,,0,0,,24/05/12,,,30/05/14,3080422,5851774,13/09/13
"Deep Information Sciences, Inc.",34000000,23/09/14,,,,,,,,,,,,,,,0,0,,,,,,0,34000000,23/09/14
Deep Nines,,,,,,,,,,,,,,,,,0,0,,,,,06/02/07,9000000,9000000,06/02/07
Deep Sea Marketing S.A.,,,,,,,,,,,,,,,,,0,0,300000,01/01/13,,,,0,325000,30/01/13
Deep Space Industries - DSI,,,,,,,,,,,,,,,,,0,0,,17/05/14,,,,0,,17/05/14
Deep-Secure,,,,,,,,,,,,,,,,,0,0,,,,,22/12/09,11192318,11192318,22/12/09
Deepclass,,,,,,,,,,,,,,,,,0,0,8700000,19/07/13,,,,0,8700000,19/07/13
DeepFlex,,,,,,,,,,,,,,,,,0,0,,,,01/01/13,,0,,01/01/13
Deeplink,,,,,,,,,,,,,,,,,0,0,,17/03/15,,,01/06/14,1500000,1500000,28/05/11
DeepMile Networks,,,,,,,,,,,,,,,,,0,0,,01/08/13,,,,0,,01/08/13
Deepomatic,,,,,,,,,,,,,,,,,0,0,4200000,14/09/15,,,,0,4200000,14/09/15
DeepRockDrive,,,,,,,,,,,,,,,,,0,0,,,,,01/01/08,6000000,6000000,01/01/08
deepsense.io,,,,,,,,,,,,,,,,,0,0,2000000,01/10/14,,,,0,2000000,01/10/14
DeepStream Technologies,,,30339058,26/09/06,,,,,,,,,,,,,0,0,,,,,,0,30339058,26/09/06
Deepwater Corrosion Services,,,,,,,,,,,,,,,,,0,0,,,,,,0,3500000,28/09/12
Deerpath Energy,,,,,,,,,,,,,,,,,0,0,,,,,21/07/08,3500000,3500000,21/07/08
DeerTech,,,12000000,02/03/06,,,,,,,,,,,,,0,0,,,,,,0,12000000,02/03/06
"deets, Inc.",1500000,25/11/12,,,,,,,,,,,,,,,0,0,,,,,,0,1500000,25/11/12
Deezer,13600000,01/07/08,25000000,10/10/09,,,130000000,07/10/12,,,,,,,,,0,0,,,,,,0,168600000,11/11/09
Defend Your Head,,,,,,,,,,,,,,,,,0,0,500000,17/12/14,,,,0,500000,17/12/14
Defense Mobile,60000000,09/01/15,,,,,,,,,,,,,,,0,0,,,,,,0,60000000,09/01/15
Defense.Net,19000000,06/08/13,,,,,,,,,,,,,,,0,0,,,,,,0,19000000,06/08/13
DefenSoft,,,,,,,,,,,,,,,,,0,0,,,,,03/01/07,0,,03/01/07
Defiant Games,,,,,,,,,,,,,,,,,0,0,40898,10/02/14,,,,0,40898,10/02/14
Define My Style,,,,,,,,,,,,,,,,,0,0,2070000,02/12/11,,,,0,2070000,02/12/11
Definiens,,,,,,,,,,,,,,,,,0,0,,,,,14/10/13,86940194,86940194,14/10/13
Definigen,9771327,05/04/14,,,,,,,,,,,,,,,0,0,,,,,,0,9771327,05/04/14
Definition 6,,,,,,,,,,,,,,,,,0,0,,,,,13/07/09,15000000,15000000,13/07/09
Definitive Healthcare,,,,,,,,,,,,,,,,,0,0,,,,02/03/15,,0,,02/03/15
Defixo,,,,,,,,,,,,,,,,,0,0,,,,,01/01/12,200000,200000,01/01/12
Defywire,13500000,04/06/03,18000000,26/04/05,,,,,,,,,,,,,0,0,,,,,27/03/07,21000000,52500000,28/04/05
Degania Medical,,,,,,,,,,,,,,,,,0,0,,,,,01/11/10,27000000,27000000,01/11/10
Degreed,14000000,19/03/15,,,,,,,,,,,,,,,0,0,,,,,,0,14000000,19/03/15
Deitek Systems,,,,,,,,,,,,,,,,,0,0,,,,,,0,250000,01/06/06
Dejamor,,,,,,,,,,,,,,,,,0,0,,08/08/12,,,,0,,08/08/12
Dejero Labs Inc.,,,,,,,,,,,,,,,,,0,0,,,,18/12/09,22/05/14,4500000,4500000,05/03/12
Dekko,,,,,,,,,,,,,,,,,0,0,24700000,08/09/12,,17/08/11,09/05/13,28800000,53500000,25/11/12
DEKOSAS,,,,,,,,,,,,,,,,,0,0,,,,,15/07/12,80000,80000,15/07/12
Delafield Solutions,,,,,,,,,,,,,,,,,0,0,,09/03/15,,,,0,,09/03/15
Delaware Valley Industrial Resource Center (DVIRC),,,,,,,,,,,,,,,,,0,0,,,,,,0,300000,03/09/10
Delectable,,,,,,,,,,,,,,,,,0,0,,01/02/12,,01/12/12,07/05/14,84000000,84000000,23/09/13
Delenex Therapeutics,225800000,22/12/11,,,,,,,,,,,,,,,0,0,,,,,,0,225800000,22/12/11
Delete,,,,,,,,,,,,,,,,,0,0,,,248900,07/05/14,,0,248900,07/05/14
Delfigo Security,1500000,15/03/10,,,,,,,,,,,,,,,0,0,,,,,,0,1500000,15/03/10
Delfmems,,,21000000,15/01/13,22200000,27/05/14,,,,,,,,,,,0,0,,,,,02/09/10,11400000,54600000,13/02/12
Delhivery,1500000,01/08/12,12000000,30/09/13,105000000,08/09/14,340000000,06/05/15,,,,,,,,,0,0,,,,,,0,458500000,20/07/14
delicious,,,,,,,,,,,,,,,,,0,0,,01/04/05,,,,0,,01/04/05
Delight Foods,,,,,,,,,,,,,,,,,0,0,,,,,12/11/15,1815000,1815000,12/11/15
Delighted,,,,,,,,,,,,,,,,,0,0,,01/01/13,,,,0,,01/01/13
DeLille Cellars,,15/05/13,,,,,,,,,,,,,,,0,0,,,,,,0,,15/05/13
Delimedia,,,,,,,,,,,,,,,,,0,0,19427,15/09/10,,,28/08/10,130888,150315,01/09/10
Deline.JY Inc.,,,,,,,,,,,,,,,,,0,0,200000,07/10/08,,,,0,200000,07/10/08
Delio,,,,,,,,,,,,,,,,,0,0,16249,19/07/15,,,,0,16249,19/07/15
Delirium,,,,,,,,,,,,,,,,,0,0,25000,02/01/11,,,,0,25000,02/01/11
Deliv,118200000,21/11/13,,,,,,,,,,,,,,,0,0,6000000,05/05/13,,,,0,124200000,30/09/13
Deliveree,,,,,,,,,,,,,,,,,0,0,,01/02/15,,,,0,,01/02/15
Deliveright,1450000,09/07/15,,,,,,,,,,,,,,,0,0,,,,,,0,1650000,19/05/15
Deliveroo,13757259,26/06/14,75000000,29/01/15,280000000,27/07/15,500000000,23/11/15,,,,,,,,,0,0,,,,,,0,868757259,12/05/15
Delivery Agent,11000000,29/03/05,33000000,17/05/06,55500000,01/05/07,125000000,01/10/09,5000000,10/12/12,8000000,26/08/14,,,,,0,0,,,,,01/04/13,40364800,277864800,10/07/09
Delivery Club,,,4000000,26/09/12,24000000,19/12/13,,,,,,,,,,,0,0,,,,,,0,28000000,28/08/13
Delivery Hero,22120000,01/03/11,44559900,01/10/11,66560000,01/03/12,340000000,30/04/13,264000000,13/01/14,85000000,23/04/14,1050000000,03/09/14,1136000000,06/02/15,0,0,,01/12/10,,,11/03/15,55604070,3063843970,25/01/13
Delivery Republic,,,,,,,,,,,,,,,,,0,0,2000000,12/11/15,,,,0,2000000,12/11/15
Delivery Science,,,,,,,,,,,,,,,,,0,0,500000,30/10/14,,,,0,500000,30/10/14
DeliveryCube,,,,,,,,,,,,,,,,,0,0,161358.5674,16/11/15,,,,0,161358.5674,16/11/15
DeliveryEdge,,,,,,,,,,,,,,,,,0,0,,,,,13/06/05,1500000,1500000,06/09/06
Delos,,,,,,,,,,,,,,,,,0,0,,,,,21/10/15,324000000,324000000,21/10/15
Delouge,,,,,,,,,,,,,,,,,0,0,590000,03/03/15,,,,0,590000,03/03/15
Delphi,,,,,,,,,,,,,,,,,0,0,,,,,13/06/08,8000000,8000000,13/06/08
Delphi Optics GmbH,,,,,,,,,,,,,,,,,0,0,1010128,31/03/10,,,,0,1010128,31/03/10
Delphinus Medical Technologies,32000000,21/07/10,,,237000000,10/09/15,,,,,,,,,,,0,0,,,,,,0,269000000,20/08/13
Delphix,17000000,04/02/09,22000000,01/04/10,150000000,06/06/12,450000000,13/07/15,,,,,,,,,0,0,,,,,,0,639000000,25/11/12
Delta Data Software,,,,,,,,,,,,,,,,,0,0,,,,,22/09/14,12679995,12679995,22/09/14
Delta Hydrocarbons,,,,,,,,,,,,,,,,,0,0,,,,,23/03/07,2250000000,2250000000,23/03/07
Delta ID,5000000,04/09/14,,,,,,,,,,,,,,,0,0,,,,,,0,5000000,04/09/14
Delta Plant Technologies,,,,,,,,,,,,,,,,,0,0,324942,07/08/06,,,,0,324942,07/08/06
Delta Systems,,,,,,,,,,,,,,,,,0,0,,,,,10/05/05,4000000,4000000,10/05/05
DeltaBid.com,,,,,,,,,,,,,,,,,0,0,20395,01/02/13,,,,0,20395,01/02/13
DeltaDNA,12900000,10/03/14,,,,,,,,,,,,,,,0,0,,,,,,0,12900000,10/03/14
deltaDOT,,,6100000,02/10/07,,,,,,,,,,,,,0,0,,,,,,0,6100000,02/10/07
deltamethod,,11/07/14,,,,,,,,,,,,,,,0,0,,,,,,0,,11/07/14
Deltanoid Pharmaceuticals,,,36000000,18/12/07,,,,,,,,,,,,,0,0,,,,,,0,36000000,18/12/07
Deltasight,,,,,,,,,,,,,,,,,0,0,870000,02/11/12,,,,0,870000,02/11/12
DeltaX,,,,,,,,,,,,,,,,,0,0,,,,,09/03/15,0,,09/03/15
DelTron Intelligence Technology,,,,,,,,,,,,,,,,,0,0,,,41250,01/08/15,,0,41250,01/08/15
Deluux,,,,,,,,,,,,,,,,,0,0,,01/01/08,,,,0,,01/01/08
DeluxeBox,,,,,,,,,,,,,,,,,0,0,20000,01/10/13,,,,0,20000,01/10/13
Delve Networks,24000000,01/08/07,,,,,,,,,,,,,,,0,0,1650000,01/12/06,,,,0,25650000,01/06/07
Delver,4000000,25/12/07,,,,,,,,,,,,,,,0,0,,,,,,0,4000000,25/12/07
Delver Ltd,,,,,,,,,,,,,,,,,0,0,47025,22/04/13,,,,0,47025,22/04/13
Dely,,,,,,,,,,,,,,,,,0,0,,,,,08/09/14,0,,08/09/14
DEM Solutions,,,,,,,,,,,,,,,,,0,0,,,,,10/08/06,15480000,15480000,10/08/06
Demand Media,,,,,,,500000000,25/09/07,,,,,,,,,0,0,,,,,,0,500000000,25/09/07
Demandbase,,,24000000,25/08/08,40000000,12/05/11,90000000,28/03/13,,,90000000,13/10/14,240000000,15/07/15,,,0,0,,,,,,0,484000000,22/06/13
Demandforce,,,,,,,,,,,,,,,,,0,0,,,,01/01/10,,0,,01/01/10
DemandJump,,,,,,,,,,,,,,,,,0,0,1500000,18/11/15,,,,0,1500000,18/11/15
DemandPoint,,,,,,,,,,,,,,,,,0,0,,,,,09/02/05,0,,09/02/05
DemandTec,,,,,,,,,,,,,,,,,0,0,,,,,,0,18000000,09/08/07
Demandware,4000000,30/10/14,24000000,13/02/06,18200000,29/04/08,14000000,14/04/10,,,,,,,,,0,0,,,,,,0,60200000,08/03/09
Demantra,,,16600000,20/05/03,,,,,,,,,,,,,0,0,,,,,,0,16600000,20/05/03
Demdex,18000000,10/05/10,,,,,,,,,,,,,,,0,0,3000000,01/08/08,,,,0,21000000,24/08/09
Demibooks,,,,,,,,,,,,,,,,,0,0,450000,27/06/12,,,,0,450000,27/06/12
Deminos,,,,,187539,09/08/12,,,,,,,,,,,0,0,,,,,,0,187539,09/08/12
DemoChimp,,,,,,,,,,,,,,,,,0,0,10000000,09/04/15,,,,0,10100000,07/03/15
Democracy.com,,,,,,,,,,,,,,,,,0,0,9420000,19/05/13,,,,0,9420000,19/05/13
DemocracyOS,,,,,,,,,,,,,,,,,0,0,320000,06/01/15,,,,0,320000,06/01/15
Democravise,,,,,,,,,,,,,,,,,0,0,40000,25/07/11,,,,0,40000,25/07/11
Demohour,2000000,01/12/13,,,,,,,,,,,,,,,0,0,,,,,,0,2000000,01/12/13
Demonstranda,,,,,,,,,,,,,,,,,0,0,32000,15/05/12,,,,0,32000,15/05/12
DemoUp,,,,,,,,,,,,,,,,,0,0,,01/09/14,,,,0,,01/09/14
DemystData,20000000,27/10/13,,,,,,,,,,,,,,,0,0,,,,08/05/13,,0,20000000,02/10/13
Den,,,,,,,,,,,,,,,,,0,0,6323408,23/06/15,,,,0,6544774,15/06/15
DeNA,36251829,23/03/00,14557242,30/07/01,,,,,,,,,,,,,0,0,,,,,,0,50809071,30/12/00
Denali Therapeutics,868000000,14/05/15,,,,,,,,,,,,,,,0,0,,,,,,0,868000000,14/05/15
Denator,664000,20/04/06,4320000,01/02/07,,,6800000,10/01/11,,,3800204,04/04/12,,,,,0,0,,,,,,0,15584204,08/08/09
Dengi Online,,,,,,,,,,,,,,,,,0,0,,,2000000,31/12/12,,0,2000000,31/12/12
Dennoo,,,,,,,,,,,,,,,,,0,0,15800000,21/03/13,,,,0,15800000,21/03/13
DeNovaMed,,,,,,,,,,,,,,,,,0,0,501408,31/03/12,,,,0,501408,31/03/12
deNovis,,,,,110000000,12/01/04,,,,,,,,,,,0,0,,,,,,0,110000000,12/01/04
DeNovo Sciences,,,,,,,,,,,,,,,,,0,0,,,,06/05/12,,0,1000000,15/02/13
DensBits Technologies,,,,31/10/10,,,,,,,,,,,,,0,0,,,,,,0,,31/10/10
DenseLight,,,,,,,,,,,,,,,,,0,0,,,,,10/01/02,30000000,30000000,10/01/02
Densitas,,,,,,,,,,,,,,,,,0,0,250000,21/10/15,,,,0,250000,21/10/15
Dental Corp,,,,,,,,,,,,,,,,,0,0,,,,,28/07/14,242000000,242000000,28/07/14
dentalDoctors,,,,,,,,,,,,,,,,,0,0,,,265064,11/06/13,,0,265064,11/06/13
Dentalink,,,,,,,,,,,,,,,,,0,0,40000,16/12/11,,,01/10/12,250000,290000,09/05/12
dentaZOOM,,,,,,,,,,,,,,,,,0,0,,24/10/13,,,,0,,24/10/13
Denty's,4500000,05/05/14,,,,,,,,,,,,,,,0,0,,,,,,0,4500000,05/05/14
Denwa Communications,,,,,,,,,,,,,,,,,0,0,,,,24/03/14,,0,,24/03/14
Deolan,,,,,,,,,,,,,,,,,0,0,,,,,01/07/13,3216500,3216500,01/07/13
DEONTICS,,,,,,,,,,,,,,,,,0,0,,,,,28/08/14,1159132,1159132,28/08/14
Dep-Xplora,,,,,,,,,,,,,,,,,0,0,,,,28/12/12,,0,,28/12/12
Departing,,,,,,,,,,,,,,,,,0,0,2500000,23/10/13,,,,0,2500000,23/10/13
Depaul UK,,,,,,,,,,,,,,,,,0,0,,,,01/12/14,,0,,01/12/14
Depict,,,,,,,,,,,,,,,,,0,0,28800000,05/01/15,,,,0,28800000,05/01/15
Deploy Solution,,,,,,,,,,,,,,,,,0,0,,,,,23/11/99,30000000,30000000,23/11/99
DepoMed,,,,,,,,,,,,,,,,,1150000000,40614,,,,,,0,1150000000,13/03/15
Depop,16000000,29/01/15,,,,,,,,,,,,,,,0,0,3115375,21/10/12,,,,0,19115375,17/05/13
Deporvillage,8286771,14/07/15,,,,,,,,,,,,,,,0,0,,01/07/11,,,03/11/15,23401906.41,31688677.41,01/10/13
Depositphotos,3000000,27/07/11,,,,,,,,,,,,,,,0,0,,,,,,0,3000000,27/07/11
DepotPoint,,,4000000,08/05/07,14000000,07/07/08,,,,,,,,,,,0,0,,,,,,0,18000000,16/02/08
Deptracker,,,,,,,,,,,,,,,,,0,0,45638,25/06/14,,,,0,45638,25/06/14
DEQ,,,,,,,,,,,,,,,,,0,0,1000000,06/06/13,,,,0,1000000,06/06/13
Der Grí_ne Punkt,,,,,,,,,,,,,,,,,0,0,,,,17/02/11,,0,,17/02/11
Derby Games,32500000,04/02/15,,,,,,,,,,,,,,,0,0,,01/03/13,,,,0,32500000,27/03/14
DerbySoft,6500000,01/11/06,5000000,22/07/09,20000000,01/01/11,9000000,01/04/14,,,,,,,,,0,0,,,,,,0,40500000,12/07/10
Derbywire,,,,,,,,,,,,,,,,,0,0,,14/11/12,,,,0,,14/11/12
Derceto,,,,,,,,,,,,,,,,,0,0,,,,,21/04/05,4380000,4380000,21/04/05
DeRev,,,,20/03/14,,,,,,,,,,,,,0,0,4591875,03/08/12,,,,0,4591875,29/12/12
Dering Hall,7559943,20/01/15,,,,,,,,,,,,,,,0,0,4200000,30/05/13,,,,0,11759943,26/03/14
